Gender,Age at which Loan was Taken,Year of Application,A-levels,Education,Employment type,Current Employment Sector,Proposed Business Sector,Current Annual Income,Total Capital,Address,Refree Present,Refree 1,Refree 2,Refree 3,Loan Payment Failure
Q,40,2021,52,STEM,Self Business,IT,Civil,42499,26786,TUK,0,NA,NA,NA,1
D,47,2017,48,Business,Salaried,IT,IT,79041,44691,TUK,0,NA,NA,NA,0
C,44,2001,87,Law,Salaried,Agriculture,Agriculture,97381,31467,XYZ,0,NA,NA,NA,1
P,43,2008,83,Law,Self Business,Civil,IT,79330,59948,MNP,0,NA,NA,NA,0
Q,47,2004,67,STEM,Self Business,Civil,Agriculture,47105,39209,PQR,1,Salaried:45247,Contractual:47126,Salaried:140790,0
P,45,2007,90,Business,Salaried,Finance,Civil,118988,51944,XYZ,1,Contractual:68303,Salaried:60071,Salaried:117588,0
C,50,2000,44,Law,Self Business,Agriculture,Agriculture,131121,27049,GHI,1,Salaried:36815,Salaried:31680,Contractual:40974,1
C,43,2002,59,Arts,Salaried,Agriculture,Agriculture,89594,66427,XYZ,0,NA,NA,NA,0
C,44,2016,44,Business,Self Business,Civil,Agriculture,137460,72881,ABC,1,Contractual:96412,Self Business:134097,Salaried:98414,0
D,45,2020,71,STEM,Self Business,Civil,Agriculture,57836,47874,PQR,1,Self Business:89470,Self Business:112315,Salaried:78570,0
Q,47,2003,74,STEM,Salaried,Finance,IT,133787,30605,ABC,1,Self Business:140401,Self Business:71287,Self Business:145044,0
P,42,2015,43,Law,Self Business,Civil,IT,135007,29403,PQR,1,Contractual:143103,Contractual:143279,Contractual:105744,1
D,40,2009,43,Law,Contractual,Finance,IT,66883,46704,TUK,1,Salaried:86659,Contractual:122863,Self Business:132708,0
C,43,2008,45,STEM,Contractual,Agriculture,Civil,97884,37263,TUK,0,NA,NA,NA,0
D,50,2014,80,STEM,Contractual,Finance,Civil,95024,41192,TUK,1,Self Business:92545,Contractual:103574,Self Business:101581,1
D,45,2004,73,Business,Self Business,IT,Civil,69733,71785,ABC,1,Contractual:21596,Salaried:24105,Self Business:39166,1
C,45,2004,53,Arts,Salaried,Finance,Civil,141567,79077,ABC,1,Self Business:75056,Salaried:134797,Salaried:52579,0
D,41,2011,84,Arts,Salaried,Finance,IT,59869,25066,ABC,0,NA,NA,NA,0
D,48,2021,51,Business,Contractual,Finance,IT,144496,21659,PQR,1,Self Business:45449,Contractual:130227,Contractual:118984,0
P,48,1998,44,Arts,Contractual,Agriculture,Finance,55010,78682,MNP,1,Contractual:143735,Contractual:102154,Self Business:108707,1
D,40,2007,62,Arts,Contractual,Finance,Finance,137847,58029,MNP,0,NA,NA,NA,0
Q,43,2015,61,Business,Self Business,IT,Finance,106523,78277,ABC,0,NA,NA,NA,0
Q,43,2014,45,Business,Salaried,IT,IT,50816,40474,XYZ,1,Contractual:77648,Self Business:92094,Self Business:79244,0
D,50,2021,79,STEM,Contractual,IT,Finance,52004,66264,MNP,1,Self Business:109796,Contractual:95452,Contractual:129383,0
C,41,2020,48,Arts,Contractual,Agriculture,Civil,64334,46923,MNP,1,Contractual:74253,Salaried:109278,Salaried:98499,0
C,40,2002,87,Law,Contractual,Agriculture,Finance,42529,53175,XYZ,0,NA,NA,NA,1
D,41,2021,64,Business,Self Business,IT,Civil,48763,24472,PQR,1,Contractual:64687,Contractual:111524,Salaried:61665,1
D,48,2002,87,STEM,Self Business,IT,Agriculture,62949,31570,ABC,1,Contractual:82732,Contractual:108178,Contractual:148188,1
P,47,2021,47,Arts,Self Business,Finance,Civil,138132,26118,GHI,0,NA,NA,NA,1
Q,41,2001,79,STEM,Salaried,Finance,Finance,69099,75886,XYZ,0,NA,NA,NA,1
C,41,2015,44,Law,Contractual,IT,Civil,109007,70873,ABC,0,NA,NA,NA,0
D,46,2017,72,Arts,Contractual,Agriculture,IT,146512,34143,ABC,1,Contractual:85555,Salaried:70586,Salaried:119415,0
C,47,2004,86,Arts,Salaried,Civil,IT,55521,42388,MNP,1,Salaried:143809,Salaried:102665,Salaried:107786,0
D,49,2002,42,Law,Self Business,Agriculture,Agriculture,78009,60412,ABC,1,Salaried:71428,Salaried:124890,Salaried:132625,1
C,49,2000,51,STEM,Self Business,Finance,Agriculture,130355,38402,GHI,1,Contractual:69386,Contractual:48101,Contractual:91527,1
P,45,2011,57,Law,Self Business,Finance,Civil,120553,53359,PQR,0,NA,NA,NA,0
Q,47,2020,41,STEM,Self Business,Agriculture,Civil,43141,73415,XYZ,0,NA,NA,NA,1
P,48,2018,82,Business,Salaried,Civil,IT,121030,51320,PQR,0,NA,NA,NA,0
P,44,2016,69,Arts,Contractual,Finance,IT,23633,36417,PQR,0,NA,NA,NA,1
C,44,2002,64,STEM,Salaried,IT,Finance,147424,21474,GHI,1,Self Business:144622,Contractual:128465,Self Business:42298,1
C,41,2021,64,Arts,Self Business,Civil,Civil,122837,33735,XYZ,1,Contractual:109454,Contractual:61626,Contractual:88039,1
C,42,2022,57,Arts,Self Business,IT,IT,72693,54899,MNP,0,NA,NA,NA,0
P,41,2007,78,STEM,Salaried,IT,Agriculture,70885,22604,XYZ,1,Contractual:104092,Self Business:75632,Salaried:110987,1
D,41,1998,86,STEM,Self Business,Civil,IT,134779,61460,ABC,0,NA,NA,NA,1
Q,41,1998,84,STEM,Salaried,IT,Civil,115374,31211,PQR,1,Salaried:104253,Salaried:91246,Self Business:43805,0
C,40,1999,81,Law,Contractual,Finance,IT,107032,28913,PQR,1,Contractual:36627,Self Business:33939,Salaried:39361,1
D,47,1999,82,Law,Self Business,Finance,Civil,149110,61213,ABC,0,NA,NA,NA,0
Q,42,2007,63,Law,Contractual,Agriculture,IT,146798,69530,GHI,0,NA,NA,NA,0
P,46,2011,87,Law,Contractual,Civil,Civil,100431,68794,MNP,1,Self Business:99108,Self Business:62696,Contractual:40296,1
D,50,2000,66,STEM,Salaried,Finance,Civil,41040,72955,MNP,1,Contractual:47933,Contractual:71202,Self Business:129462,1
D,50,2021,77,STEM,Self Business,Agriculture,Civil,121305,61007,TUK,1,Salaried:92138,Self Business:135557,Self Business:78885,1
Q,42,2003,47,Law,Contractual,Agriculture,Agriculture,74513,40499,GHI,1,Contractual:142309,Self Business:83773,Contractual:131882,0
P,42,2021,90,Law,Self Business,Finance,Agriculture,91298,61517,GHI,1,Contractual:117602,Salaried:45413,Salaried:69123,1
Q,41,2002,88,Business,Contractual,Finance,Finance,88363,29696,XYZ,1,Contractual:45131,Contractual:116321,Self Business:106037,1
P,40,2013,76,Law,Contractual,IT,Finance,89734,76967,GHI,0,NA,NA,NA,0
P,44,2014,47,Law,Self Business,Civil,Civil,128761,23439,XYZ,1,Salaried:141572,Self Business:65192,Self Business:114389,1
P,45,2001,87,Arts,Contractual,IT,Civil,103549,39905,XYZ,0,NA,NA,NA,1
P,50,1998,83,STEM,Self Business,Civil,Civil,53521,49187,PQR,1,Self Business:123458,Self Business:90449,Self Business:141019,0
D,47,2021,63,Law,Self Business,Civil,Civil,87373,34125,XYZ,0,NA,NA,NA,1
D,41,2014,79,Arts,Contractual,Civil,Finance,86549,25578,PQR,0,NA,NA,NA,0
Q,43,2001,59,STEM,Salaried,Civil,IT,53004,70555,ABC,1,Salaried:142070,Contractual:94136,Self Business:136432,0
Q,43,2003,45,Arts,Self Business,Finance,Civil,116333,32317,TUK,1,Contractual:86554,Contractual:79832,Self Business:92474,1
P,45,2003,42,Law,Salaried,Agriculture,Agriculture,82049,29001,MNP,1,Self Business:84036,Contractual:66459,Self Business:85243,0
P,44,2008,71,Law,Salaried,Agriculture,IT,124922,28508,GHI,1,Contractual:60613,Self Business:65870,Contractual:62601,1
P,48,2007,86,Business,Salaried,Finance,Agriculture,50130,55826,PQR,1,Contractual:98346,Contractual:74663,Self Business:66636,1
P,40,2016,83,Business,Salaried,Civil,Agriculture,45075,24657,ABC,0,NA,NA,NA,0
C,48,2007,62,Business,Self Business,Agriculture,Agriculture,93584,73100,MNP,1,Contractual:44446,Salaried:50655,Salaried:64181,0
P,42,2005,46,Law,Salaried,Agriculture,IT,81155,20414,ABC,0,NA,NA,NA,0
Q,49,2002,45,STEM,Salaried,Civil,Finance,61796,43738,GHI,1,Self Business:111483,Self Business:132417,Contractual:65563,1
D,43,2021,83,STEM,Self Business,Agriculture,Civil,58486,24767,PQR,1,Salaried:55167,Contractual:77930,Salaried:129374,1
D,44,2011,50,Business,Contractual,Agriculture,Finance,21614,54829,TUK,0,NA,NA,NA,1
P,43,2006,69,Business,Salaried,Agriculture,Civil,45405,27294,PQR,1,Contractual:130228,Self Business:72629,Salaried:50323,1
Q,43,2000,81,Business,Salaried,Civil,Agriculture,125310,35120,ABC,1,Contractual:63189,Contractual:132797,Contractual:114257,1
P,50,2006,67,Law,Contractual,Finance,IT,148397,46255,TUK,1,Contractual:133251,Contractual:100479,Contractual:55553,1
C,45,2001,72,STEM,Contractual,Agriculture,Finance,55080,53390,ABC,0,NA,NA,NA,1
Q,50,2021,53,STEM,Self Business,Civil,IT,79867,42325,TUK,0,NA,NA,NA,1
D,41,2005,83,Arts,Contractual,Agriculture,IT,20022,74560,TUK,1,Contractual:106428,Self Business:129073,Self Business:120085,1
Q,41,2002,73,STEM,Salaried,Agriculture,Finance,97158,20776,XYZ,1,Salaried:100197,Contractual:71094,Contractual:89230,0
P,42,2007,76,STEM,Contractual,Agriculture,Finance,36355,21043,ABC,1,Self Business:65969,Salaried:76768,Contractual:42811,1
D,49,2015,57,Law,Self Business,Civil,Finance,77926,62229,PQR,0,NA,NA,NA,0
Q,44,2020,67,STEM,Self Business,Finance,Civil,121823,49555,GHI,0,NA,NA,NA,1
D,48,2009,71,Arts,Salaried,Civil,Finance,81736,72746,GHI,1,Self Business:129068,Contractual:52973,Salaried:132133,0
Q,48,2022,64,Business,Contractual,Civil,Finance,143752,40126,ABC,1,Self Business:33733,Self Business:36084,Contractual:39852,1
